Index,Time [s],P [mbar],AX [m/s2],AY [m/s2],AZ [m/s2],AMag [m/s2]
266,0.1298828125,982.7,1.2,2.5,-3.1,4.16
267,0.13037109375,982.7,-0.8,-2.5,0.9,2.77
268,0.130859375,982.6,1.8,1.1,-0.8,2.26
269,0.13134765625,982.6,-0.4,-2.3,-2.2,3.21
270,0.1318359375,982.6,0.5,1.7,-1.4,2.26
271,0.13232421875,982.6,-1.0,-2.9,-0.1,3.07
272,0.1328125,982.6,1.2,1.5,-3.1,3.65
273,0.13330078125,982.6,0.1,-1.7,0.5,1.77
274,0.1337890625,982.6,1.6,0.1,-2.1,2.64
275,0.13427734375,982.6,-1.2,-0.7,1.3,1.9
276,0.134765625,982.6,0.5,1.3,-2.7,3.04
277,0.13525390625,982.6,-1.8,-1.1,-1.0,2.33
278,0.1357421875,982.6,-0.1,1.3,-2.3,2.64
279,0.13623046875,982.6,-0.8,-1.3,-0.1,1.53
280,0.13671875,982.6,-0.1,2.3,-2.1,3.12
281,0.13720703125,982.6,-3.4,-1.9,-0.8,3.98
282,0.1376953125,982.6,0.8,1.7,-2.3,2.97
283,0.13818359375,982.6,-1.6,-2.1,-0.2,2.65
284,0.138671875,982.6,1.4,-0.1,-2.3,2.69
285,0.13916015625,982.6,-1.6,-0.2,-1.6,2.27
286,0.1396484375,982.6,0.5,0.7,-2.3,2.46
287,0.14013671875,982.6,-1.2,-0.5,-0.4,1.36
288,0.140625,982.6,1.2,0.7,-2.9,3.22
289,0.14111328125,982.6,0.1,-2.1,-1.6,2.64
290,0.1416015625,982.6,0.3,1.5,-3.3,3.64
291,0.14208984375,982.6,-0.4,-1.7,-2.4,2.97
292,0.142578125,982.6,-0.1,1.7,-0.6,1.81
293,0.14306640625,982.6,-1.8,-0.9,-0.1,2.01
294,0.1435546875,982.6,0.3,0.1,-3.3,3.32
295,0.14404296875,982.6,-1.8,-1.7,-0.1,2.48
296,0.14453125,982.6,0.8,-0.1,-2.9,3.01
297,0.14501953125,982.6,-1.8,-1.9,-0.4,2.65
298,0.1455078125,982.6,0.6,2.5,-4.3,5.01
299,0.14599609375,982.6,-0.6,-2.1,0.3,2.2
300,0.146484375,982.6,0.8,0.7,-1.2,1.6
301,0.14697265625,982.6,-1.2,-0.2,-1.4,1.85
302,0.1474609375,982.6,0.1,-0.5,-1.8,1.87
303,0.14794921875,982.6,-0.8,-0.9,1.3,1.77
304,0.1484375,982.6,1.0,-0.7,-2.3,2.6
305,0.14892578125,982.6,-1.6,-1.3,0.1,2.06
306,0.1494140625,982.6,-0.5,1.3,-2.1,2.52
307,0.14990234375,982.6,-0.8,-0.4,-0.4,0.98
308,0.150390625,982.6,2.2,-0.9,-2.5,3.45
